"asc_1","asc_2","asc_3","b_intelligence","b_reliability","b_pace","b_energy","b_safety","phi1","phi2","error_sd","timesteps","logLike"
0,0,0,0.182321556793955,0.0953101798043249,-0.105360515657826,0.262364264467491,0.336472236621213,1,0,0.5,10,-868.319960128141
0,0,0,0.182321556793955,0.0953101798043249,-0.105360515657826,0.262364264467491,0.336472236621213,1,0,0.5,10,-868.319960128141
-0.00132630906591658,0.000977765812422149,0,0.150046804709905,0.105946070962342,-0.0600990770128695,0.256323328699094,0.318890594743444,1,0.334942356785177,1.16761934889655,10,-201.522666936083
-0.00133110235196356,0.000964713542180845,0,0.141742443501891,0.109115067465737,-0.0509253341584183,0.254721170252749,0.316454375039212,1.00971362897431,0.346568423547432,1.16077109881338,10,-201.264212127678
-0.00174632902659211,0.000929282817393272,0,-0.139864618900622,0.218727739640226,0.265061294430705,0.195612945821427,0.231570361111258,1.22815535731293,0.238306242306499,1.17751386237019,10,-198.322850255878
-0.00281707263789763,0.000866039284424288,0,-0.182129980448662,-0.038360481449494,0.588454944997127,0.0392753615137348,0.363867869813889,1.33535040798407,0.220238926362268,1.16977006033752,10,-198.249649856215
-0.0103603229021026,0.00101875407770724,0,-0.641565979645853,0.26589107862384,0.499361410098854,0.253388098301728,0.394033071324269,1.93568462547969,0.271482749400826,1.1288492441535,10,-195.145850044472
-0.0130542271312812,0.0010686248896934,0,-0.49844646719799,0.341569881483517,0.441162399945207,0.214247069062432,0.272574779339037,2.43069149935253,0.21449588037734,1.16435831657891,10,-194.182680122348
-0.0141389785381676,0.00123222724451688,0,-0.518520943569305,0.327658132973268,0.390381414275884,0.211606837256447,0.359982220164895,2.68206691619061,0.188563536196273,1.18276869269236,10,-194.057161204938
-0.0153618108637836,0.00157333318349811,0,-0.488302539430923,0.321581778538894,0.426871192727718,0.199608898776654,0.311348333193049,2.92203665010018,0.17939828711797,1.18577821116958,10,-193.740693468013
-0.0165723548676634,0.00209705853342151,0,-0.471088063786552,0.415173704165141,0.458580434605503,0.0334208292681957,0.335020747606537,3.1809911127384,0.183762842437008,1.18087317796424,10,-193.530663456618
-0.0214919944218248,0.00517669955907522,0,-0.638345096846078,0.24773679789832,0.677358633929228,0.165450080236396,0.318907139080447,4.6626021531339,0.193696710708104,1.16159659235491,10,-192.756250359078
-0.0217878532222793,0.00563200869636814,0,-0.63832713980845,0.322463584058007,0.55682898004049,0.183266626041997,0.346875543560994,5.14023676977788,0.183917760694073,1.17541378961186,10,-192.187391723495
-0.0228635805665661,0.00709086490066118,0,-0.616560835327484,0.397643203245044,0.464251987277805,0.171543994652833,0.354229243205105,6.15961511888125,0.17589741677625,1.18832224820748,10,-191.868853411683
-0.0234094755400363,0.00870635533567397,0,-0.576344844961021,0.404722160989871,0.424981947632751,0.167084782750822,0.350663576855605,7.11445124072951,0.180753655157019,1.19283048661987,10,-191.684513213516
-0.0253906569824727,0.0115976101357986,0,-0.542113427659491,0.393510845256851,0.410727173344934,0.164496881813525,0.34448621314656,8.80832936082166,0.180583317510455,1.20030381202002,10,-191.485133011042
-0.0280413844980778,0.0150686847313459,0,-0.536916860480599,0.388361567516722,0.426869493861504,0.157334210182521,0.335459372481461,10.8026229876562,0.181527759498401,1.2045902479851,10,-191.339820302583
-0.0314611606255148,0.0193729782277079,0,-0.540217253067473,0.385374732507624,0.443036151887587,0.150064054999174,0.332850184618279,13.2905401620095,0.180746201438993,1.21090548825437,10,-191.243846192928
-0.0355482165392051,0.024762704613207,0,-0.539478485337236,0.38484751091903,0.447586550325949,0.147479705323266,0.330672580177823,16.4182677465147,0.180972862695524,1.21952733800011,10,-190.950703787443
-0.0366204624800119,0.0235140735874822,0,-0.534969262059935,0.378878398154445,0.450109482392222,0.145440619630206,0.331648626913326,17.2443818271912,0.181025959990405,1.22203865558436,10,-190.93090365661
-0.0382368794568215,0.0168634536492595,0,-0.527470438719221,0.370150300256499,0.452625627473324,0.143165654971403,0.332636640857582,18.497723045195,0.181064357698425,1.22598134041717,10,-190.746880128159
-0.0387019674406425,0.0161798083093166,0,-0.5259797003922,0.368928335521545,0.452615385326609,0.142534865086271,0.333008888994277,18.6697469228552,0.181062489909417,1.22657307678692,10,-190.743199555448
-0.0389426441958104,0.0158080692551824,0,-0.525451217046472,0.368524853521291,0.452561434237153,0.142358267904111,0.333114432484136,18.7327574979242,0.181063933694462,1.22679027808143,10,-190.74188275615
-0.039279079701043,0.0159745513508472,0,-0.522410055029147,0.366872961031828,0.443487611370741,0.14008801906186,0.343069234664936,18.7328566924186,0.188279961746888,1.22679027808143,10,-190.726449959754
-0.0404663874645021,0.0165570820626851,0,-0.512072556668633,0.361477374793205,0.41296522398965,0.132020993790753,0.376716734965623,18.7332104902684,0.184198570987768,1.22679027808143,10,-190.674530018693
-0.0478917609541353,0.0195457678975905,0,-0.463443135770171,0.327884559004707,0.421343584287625,0.105308965444293,0.380013799970543,18.7358710515515,0.183189794203367,1.22679027808143,10,-190.670632207965
-0.0612763817607256,0.0253621144699007,0,-0.3972722133466,0.336257440766767,0.396318494908712,0.0812570903568875,0.35454696033584,18.7406701786168,0.182340401630575,1.22679027808143,10,-190.666256506779
-0.0680853745659202,0.0282879141182986,0,-0.404805649424207,0.334234169594236,0.392690774973992,0.0924286009867816,0.356559877876627,18.7432080079377,0.182151866119607,1.22679027808143,10,-190.662966382186
-0.0892571018614546,0.037381486025469,0,-0.437929316486039,0.347999148372933,0.39709125623536,0.0916529701028394,0.372293718172149,18.7511125022985,0.182382120412295,1.22679027808143,10,-190.658558562906
