"asc_1","asc_2","asc_3","b_intelligence","b_reliability","b_pace","b_energy","b_safety","phi1","phi2","error_sd","timesteps","logLike"
0,0,0,0.182321556793955,0.0953101798043249,-0.105360515657826,0.262364264467491,0.336472236621213,1,0,0.5,10,-461.437890796051
0,0,0,0.182321556793955,0.0953101798043249,-0.105360515657826,0.262364264467491,0.336472236621213,1,0,0.5,10,-461.437890796051
-0.000921502742130543,0.000851585373311537,0,0.173145571397231,0.100686444984855,-0.0766125037755549,0.253505543419036,0.3203826659854,1,0.162307124937797,0.873031575381902,10,-103.92269569372
-0.000693439247874524,0.000544593758790287,0,0.176171751757854,0.105122018625896,-0.0710801445497465,0.241510474841293,0.319383621317121,1.02296514860406,0.304547042492099,0.822962617942661,10,-96.5464916354811
0.0042714748885352,-0.00582347287774057,0,0.284420699014825,0.658770794464916,0.604852522155679,-0.796343410762649,0.0194071218735413,2.18402705617535,0.169696308979041,0.802505848256461,10,-91.1380668333723
0.0092411809869555,-0.00883275950116619,0,0.314016113852876,0.454405657251092,0.740092798177361,-0.802162896936778,0.0647560564830256,2.2130459389865,0.182757035551372,0.794176258448716,10,-90.4195837131953
0.0222116884042392,-0.0165904279026389,0,0.282672869010461,0.523078632137287,0.560284627151131,-0.757799919188657,0.162871527182846,2.21749160095641,0.234359327611161,0.794261591060676,10,-88.9088995231046
0.0311442405038236,-0.0217619996285228,0,0.168594449523788,0.644093270775208,0.670722167224876,-0.642448922312636,-0.0698532286913308,2.19031512565016,0.262177113722156,0.765445929618449,10,-88.4035471028421
0.0685368334572821,-0.0443956581911044,0,0.606121645998289,0.657437139875784,0.555209678049334,-0.610978470501995,-0.436682237124268,2.61363747819272,0.307253450286071,0.764559770027512,10,-87.7240950770095
0.156419274127308,-0.096762884195093,0,0.231647521174816,0.834228099242165,0.724445024713078,-0.862400285970667,-0.156812575370548,3.60604808771354,0.397249101867428,0.740361493847727,10,-86.126786701678
0.188704802580784,-0.113706135574866,0,0.380226894079697,0.979699961268931,0.820535539564447,-1.21426639258602,-0.195088229283632,3.82564639590997,0.442872993820902,0.718837597999935,10,-85.7483808302741
0.241687552748592,-0.138762254040309,0,0.641791001573917,1.20498375052719,0.970252795358883,-1.74055836376028,-0.305361369484578,4.39826734830876,0.51841576312352,0.685731271656952,10,-85.3425775604864
0.243733510418675,-0.139534687633311,0,0.653462334013704,1.21504591866542,0.977560675510524,-1.76418532813838,-0.310775785779903,4.4274909787316,0.521766125214201,0.684184391657438,10,-85.3284336530901
0.244295987035366,-0.139690720227848,0,0.657169693101672,1.21832093228108,0.980045202451056,-1.77183463957169,-0.312593360012594,4.43720821363222,0.522833479124093,0.683663841219272,10,-85.3238064970727
0.244782642334182,-0.139757665634711,0,0.661027068473679,1.22177064675219,0.982732471047046,-1.77985291715711,-0.314569470991851,4.44762333062777,0.523935030225984,0.68310102801632,10,-85.3188753118724
0.244861875642408,-0.139751854921765,0,0.661819194531385,1.22248289197495,0.983296821227392,-1.78150176059992,-0.314989355227818,4.44981013475987,0.524158215390222,0.68298226728298,10,-85.3178426239665
0.244873936738115,-0.139746719909813,0,0.661981914915869,1.22262943564113,0.983414264064348,-1.78183995359799,-0.315077867473068,4.45026788195803,0.524203359794739,0.682957363640026,10,-85.3176263788537
0.244882035924126,-0.13973753954463,0,0.662147940793526,1.22277886650006,0.983534968510605,-1.78218406647751,-0.315169928603281,4.45074327040543,0.524248695767756,0.682931529305187,10,-85.3174018158492
0.244886053558422,-0.139724264850271,0,0.662316871683226,1.22293064887044,0.983658264407072,-1.78253309488922,-0.315264907933209,4.45123548642763,0.524294115898012,0.682904867471065,10,-85.3171695417253
0.244885957819567,-0.139706850704789,0,0.662488492680544,1.22308448907372,0.98378374852512,-1.7828866206801,-0.315362340467148,4.45174430607198,0.524339586261723,0.682877431914474,10,-85.3169298384686
0.244885100417411,-0.139702532432984,0,0.662523315440636,1.2231156219911,0.983809221218284,-1.78295815471828,-0.315382234553147,4.45184935539623,0.524348685942529,0.68287179834862,10,-85.3168804532614
0.244883412568349,-0.139697368292983,0,0.662558632873981,1.22314711166158,0.98383504727981,-1.78303053065404,-0.315402477100061,4.45195772693697,0.524357796398012,0.682866019252753,10,-85.3168296171967
0.244880877600341,-0.139691367298135,0,0.662594304377953,1.22317882530771,0.98386110355281,-1.78310350315283,-0.315422959928375,4.45206907326637,0.524366889931859,0.682860115933859,10,-85.316777511094
0.244880877600341,-0.139691367298135,0,0.664408319072854,1.22304736944463,0.983699140167884,-1.78439033515556,-0.315656723372532,4.4540536600546,0.514652395578029,0.660976276652714,10,-85.2592970293793
0.244880877600341,-0.139691367298135,0,0.666980758161407,1.22006969089969,0.985328128214931,-1.78586369520007,-0.315407111918687,4.45681513278015,0.521668069551558,0.652710251011339,10,-85.2439801414416
0.244880877600341,-0.139691367298135,0,0.676490238084915,1.21412718837408,0.988201371476023,-1.79214501178693,-0.31556601599081,4.46746467397571,0.51540129521654,0.583427610018187,10,-85.2318201409046
0.244880877600341,-0.139691367298135,0,0.677174741784924,1.21339470812484,0.988625579595398,-1.79257038380764,-0.315516875540241,4.4682494680467,0.517530544979569,0.581380496284494,10,-85.2278458554755
0.244880877600341,-0.139691367298135,0,0.677599048550229,1.21678443320291,0.988507249173556,-1.79505772698156,-0.316725206498227,4.47190684866531,0.52311346257744,0.577149966201003,10,-85.2186380699646
0.244880877600341,-0.139691367298135,0,0.678248739514321,1.21699571630324,0.989482643511565,-1.79613620642155,-0.317483086999337,4.47342303636825,0.524274611603941,0.576247729299487,10,-85.2157147844239
